Test Name,Duration(ms),Operations,Throughput(ops/sec),Avg Latency(ms),P95 Latency(ms),P99 Latency(ms),Page Size,Throughput(MB/s)
SequentialRead_PageSize4096,59,25600,433898,0,0,0,4096,1694.915254
SequentialWrite_PageSize4096,78,25600,328205,3.90625e-05,0,0,4096,1282.051282
SequentialRead_PageSize8192,33,12800,387879,0,0,0,8192,3030.303030
SequentialWrite_PageSize8192,42,12800,304762,0,0,0,8192,2380.952381
SequentialRead_PageSize16384,20,6400,320000,0,0,0,16384,5000.000000
SequentialWrite_PageSize16384,28,6400,228571,0,0,0,16384,3571.428571
